"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Security & validation","0","Negative scenarios","1","0","Locked-out access","0"
"0","Shopping","0","Inventory","4","0","Sorting","0"
"0","Navigation","0","Menu & session","1","0","Logout","0"
"0","Shopping","0","Checkout","1","0","Order overview totals","0"
"0","","0","SauceDemo login","1","0","Locked-out user is rejected","0"
"0","Authentication","0","Login","2","0","Field validation","0"
"0","Shopping","0","Inventory","1","0","Inventory loads","0"
"0","Shopping","0","Cart","2","0","Add to cart","0"
"0","Shopping","0","Inventory","1","0","Product list","0"
"0","Authentication","0","Login","1","0","Locked-out user","0"
"0","Navigation","0","Menu & session","1","0","Menu open/close","0"
"0","Shopping","0","Checkout","3","0","Field validation","0"
"0","Shopping","0","Cart","1","0","Remove from cart","0"
"0","Shopping","0","Cart","1","0","Cart badge","0"
"0","Security & validation","0","Negative scenarios","1","0","Checkout guardrails","0"
"0","","0","SauceDemo login","2","0","Invalid credentials are rejected","0"
"0","Shopping","0","Cart","1","0","Cart persistence","0"
"0","","0","SauceDemo login","1","0","Standard user logs in successfully","0"
"0","Security & validation","0","Negative scenarios","1","0","Protected routes","0"
"0","Shopping","0","Checkout","1","0","Successful checkout","0"
"0","Shopping","0","Checkout","1","0","Order confirmation","0"
"0","Navigation","0","Menu & session","1","0","Reset app state","0"
"0","Authentication","0","Login","1","0","Invalid credentials","0"
"0","Authentication","0","Login","1","0","Successful login","0"
